offerId,categoryId,name,price,currency,available,sampled
18751081443,259436,"Obudowa Chieftec HC-10B-OP Midi Tower czarny",129.0,PLN,0,no
18749618849,4575,"Mysz bezprzewodowa Dell MS5120W optyczna nie działa BT",60.0,PLN,1,no
18749600114,4575,"Mysz bezprzewodowa Dell MS5120W optyczna 1600 dpi czarna",79.0,PLN,1,no
18748642780,4575,"Myszka bezprzewodowa Dell MS5120W czarna",69.0,PLN,2,no
18748601274,4576,"Myszka przewodowa Corsair Harpoon RGB sensor optyczny",30.0,PLN,1,no
18748515572,4575,"Mysz pionowa Speedlink PIAVO Ergonomic Vertical Mouse Wireless Czarna",30.0,PLN,2,no
18748381438,4575,"Mysz bezprzewodowa HP 280 Silent czarna cicha odbiornik 2.4GHz USB 19U64AA",50.0,PLN,1,no
18748033777,4575,"Myszka bezprzewodowa Attack Shark R5Ultra sensor optyczny",75.0,PLN,2,no
18748024914,4575,"Myszka bezprzewodowa | Attack Shark R5 Ultra | 8K Hz | 42 000 DPI | czarna",250.0,PLN,0,no
18747913668,85166,"Słuchawki bezprzewodowe dokanałowe Soundcore Liberty 5 ANC IP55 czarne",199.0,PLN,0,no
18747640172,4575,"Attack Shark R1 Mysz Myszka DLA GRACZY GAMINGOWA Bluetooth 2.4Ghz Wireless",79.0,PLN,1,no
18745398104,4575,"Attack Shark R1 Mysz Myszka DLA GRACZY GAMINGOWA Bluetooth 2.4Ghz Wireless",99.0,PLN,1,no
18745131018,4573,"Redragon K732WLB-RGB-PRO Uranus Pro 82",279.0,PLN,1,no
18745097301,19357,"Ładowarka wieloportowa Anker Prime 250W USB-A x2 USB-C x4",42.0,PLN,0,no
18745076028,260345,"Tusz HP 963XL 3JA28AE czerwony (magenta)",129.0,PLN,1,no
18745033473,4574,"Klawiatura gamingowa Razer BlackWidow V3 Mini HyperSpeed Yellow RGB 2,4 BT",399.0,PLN,1,no
18744959210,4573,"Corsair K70 RGB PRO mechaniczna klawiatura gamingowa, RGB LED z podświetlen",449.0,PLN,1,no
18744180216,315572,"Pad Sony PlayStation 5 DualSense Chrome Indigo",214.0,PLN,1,no
18744014226,4573,"Klawiatura LOGITECH MX Keys Mini For Mac szara uszkodzony róg",,,0,no
18743948764,250408,"Dron EXTRALINK E88 Pro",,,0,no
18743919373,4575,"Myszka bezprzewodowa Mad Catz R.A.T. DWS sensor optyczny czarny",699.0,PLN,1,no
18743820624,49128,"Głośnik przenośny Soundcore Boom 3i czarny 50 W",,,0,no
18742465956,4576,"Myszka przewodowa SteelSeries RIVAL 5 sensor optyczny",50.0,PLN,1,no
18742394984,19357,"30 sztuk uszkodzonych ładowarek",,,1,no
18742384046,252023,"Licytacja dotyczy 11 sztuk uszkodzonych powerbanków, Baseus, Silver Monkey",,,1,no
18742376175,19357,"Licytacja dotyczy 30 sztuk uszkodzonych ładowarek.",20.0,PLN,1,no
18742354827,317021,"Akumulator bateria 2500mAh 25,2V do odkurzacza Dreame G9 T10 T20 BHR4368GL",20.0,PLN,1,no
18742346134,252023,"Powerbank Baseus Ambilight 65 W z wyświetlaczem cyfrowym",60.0,PLN,1,no
18742335918,252023,"Powerbank Silver Monkey 20000 mAh szary",40.0,PLN,1,no
18742322099,252023,"11 sztuk uszkodzonych Powerbanków, widoczne na zdjęciu",20.0,PLN,1,no
18742292928,252023,"Silver Monkey Powerbank 20.000mAh USB-A USB-C PD - 11 uszkodzonych sztuk",20.0,PLN,0,no
18742280248,85166,"Słuchawki True Wireless Silver Monkey Smart Buds Pro czarne",30.0,PLN,1,no
18742050959,260041,"Monitor LED Dell Monitor Dell P2214hb 21,5 "" 1920 x 1080 px IPS / PLS",249.0,PLN,1,no
18742018160,260040,"Uszkodzone wentylatory, Endorfy, SMX, Gamer około 30 sztuk",,,1,no
18741574730,260347,"Drukarka Canon MP560 atramentowa uszkodzona nie podaje papieru",,,1,no
18738424917,257064,"Fotel gamingowy Silver Monkey Askja tkanina czarny",299.0,PLN,1,no
18738405331,257064,"Fotel gamingowy SMX Ararat czarny",499.0,PLN,0,no
18737938374,260040,"Wentylator do komputera Endorfy Fluctus 140 PWM ARGB 140 mm",40.0,PLN,1,no
18736113672,259436,"Obudowa do komputera Silver Monkey X Casket TG SMXC010",119.0,PLN,0,no
18736048255,259436,"Obudowa do komputera Silver Monkey X Casket TG SMXC010",99.0,PLN,0,no
18735822744,259436,"Obudowa do komputera Silver Monkey X Croft Midi Tower - brak szyby bocznej",99.0,PLN,1,no
